"The Temptation of Lila and Ethan (The Secret, #3)"	Jessica Sorensen	4.1	11562	1378836391s/16055479	16055479-the-temptation-of-lila-and-ethan

"Pieces of You (Shattered Hearts, #3)"	Cassia Leo	4.22	11848	1366091441s/17397495	17397495-pieces-of-you

"Eyeshield 21, Vol. 7: Musashi"	Riichiro Inagaki	4.29	397	1385859334s/1385643	1385643.Eyeshield_21_Vol_7

"City of Bones (The Mortal Instruments, #1)"	Cassandra Clare	4.12	1055146	1432730315s/256683	256683.City_of_Bones

"Crossed Bones (Sarah Booth Delaney, #4)"	Carolyn Haines	4.12	1520	1388292307s/905893	905893.Crossed_Bones

Historie Van Mejuffrouw Cornelia Wildschut	Betje Wolff	3.4	5	0	3412334-historie-van-mejuffrouw-cornelia-wildschut

"El prisionero del cielo (El cementerio de los libros olvidados, #3)"	Carlos Ruiz Zafín	3.94	32087	1327566623s/13094197	13094197-el-prisionero-del-cielo

"The Oaks (Royal Oaks, #1)"	Jessica    Smith	4.5	20	1342136073s/15745506	15745506-the-oaks

"Os Garotos Corvos (The Raven Cycle, #1)"	Maggie Stiefvater	4.05	105471	1374787878s/18243521	18243521-os-garotos-corvos

"Second Grave on the Left (Charley Davidson, #2)"	Darynda Jones	4.3	29347	1442767958s/9565045	9565045-second-grave-on-the-left

"Behind the Moss Curtain, and Other Great Savannah Stories"	Murray Silver	3.35	34	1372875658s/1022689	1022689.Behind_the_Moss_Curtain_and_Other_Great_Savannah_Stories

"The Queen of Traitors (The Fallen World, #2)"	Laura Thalassa	4.36	1019	1450107377s/23867347	23867347-the-queen-of-traitors

"Fifty Shades Freed (Fifty Shades, #3)"	E.L. James	3.9	564070	1336418837s/13536860	13536860-fifty-shades-freed

"Cold Wind (Joe Pickett, #11)"	C.J. Box	4.13	4480	1440851407s/9408479	9408479-cold-wind

Justice: What's the Right Thing to Do?	Michael J. Sandel	4.22	7743	1441517195s/6452731	6452731-justice

"Courtney Crumrin and the Night Things (Courtney Crumrin, #1)"	Ted Naifeh	4.07	3515	1348893757s/458341	458341.Courtney_Crumrin_and_the_Night_Things

"I, Peter Wood"	Paige Hardt	4.86	7	1426161417s/25127223	25127223-i-peter-wood

"Afterlight (Dark Ink Chronicles, #1)"	Elle Jasper	3.72	3596	1388908547s/7832325	7832325-afterlight

"Edensor (Tetralogi Laskar Pelangi, #3)"	Andrea Hirata	4.05	11397	1314116649s/1464757	1464757.Edensor

"Time's Divide (The Chronos Files, #3)"	Rysa Walker	4.05	2223	1437751220s/22583196	22583196-time-s-divide

