We Got Zombies On The Lawn Again, Ma (Ax Handel's Special Zombie Notebooks Book 1)	Donnie  Smith	3.71	70	1440691001s/20578084	20578084-we-got-zombies-on-the-lawn-again-ma	209
Missing Variables (The Rook Caf̩, #1)	Llarjme	4.04	26	1453220925s/28603787	28603787-missing-variables	382
Signal-Close Action! (Richard Bolitho, #14)	Alexander Kent	4.06	647	1328862000s/799693	799693.Signal_Close_Action_	368
Mistborn: The Final Empire (Mistborn, #1)	Brandon Sanderson	4.41	186295	1437254833s/68428	68428.Mistborn	541
The Lover (The Lover, #1)	Marguerite Duras	3.77	20697	1423329337s/275	275.The_Lover	117
The Princess (Montgomery/Taggert, #8)	Jude Deveraux	3.93	4114	1170371747s/50799	50799.The_Princess	336
The First Pillar (Everville, #1)	Roy Huff	3.63	612	1363797417s/17404695	17404695-the-first-pillar	230
Serpent's Storm (Calliope Reaper-Jones, #3)	Amber Benson	3.7	764	1389033141s/8483864	8483864-serpent-s-storm	309
The Witches of the Glass Castle (The Witches of the Glass Castle, #1)	Gabriella   Lepore	4.06	349	1320830689s/11213139	11213139-the-witches-of-the-glass-castle	255
Myth-ing Persons (Myth Adventures, #5)	Robert Asprin	3.96	6967	1389251186s/461627	461627.Myth_ing_Persons	208
High Rhulain (Redwall, #18)	Brian Jacques	4.1	5863	1326081887s/130352	130352.High_Rhulain	336
The One Minute Millionaire: The Enlightened Way to Wealth	Mark Victor Hansen	3.93	5756	1320417811s/761158	761158.The_One_Minute_Millionaire	388
Achingly Alice (Alice, #10)	Phyllis Reynolds Naylor	3.9	1257	1348083650s/993941	993941.Achingly_Alice	149
Dissolution (Matthew Shardlake, #1)	C.J. Sansom	4.07	22630	1329914905s/138685	138685.Dissolution	456
Love Among the Walnuts	Jean Ferris	3.93	1206	1174788343s/440419	440419.Love_Among_the_Walnuts	224
Alpha (Shifters, #6)	Rachel Vincent	4.32	12398	1461770205s/6449378	6449378-alpha	472
The Den of Shadows Quartet (Den of Shadows, #1-4)	Amelia Atwater-Rhodes	4.22	3686	1442808528s/6483519	6483519-the-den-of-shadows-quartet	595
The Daughters (The Daughters, #1)	Joanna Philbin	3.91	6879	1339205434s/7129468	7129468-the-daughters	288
Better Off Undead (The Bloodhound Files, #4)	D.D. Barant	4.04	2079	1327900292s/10122126	10122126-better-off-undead	324
Mirage (Destined, #1)	Ashley Suzanne	3.99	2347	1380805381s/18302171	18302171-mirage	206
Merlin (The Pendragon Cycle, #2)	Stephen R. Lawhead	4.06	7550	1388708274s/73934	73934.Merlin	484
When Cultures Collide, Third Edition: Leading Across Cultures	Lewis D. Richard	4.6	5	1391615095s/10367431	10367431-when-cultures-collide-third-edition	624
Tupperware Unsealed: Brownie Wise, Earl Tupper, and the Home Party Pioneers	Bob Kealing	3.7	40	1328812111s/2875746	2875746-tupperware-unsealed	264
Patag�_̩nia	Du�_���_�̴ۡ�_��_����an Mitana	4.14	123	1205876760s/3049193	3049193-patag-nia	91
Learning How to Eat	Brian V. Menard	4.38	29	1375064523s/11913095	11913095-learning-how-to-eat	102
Stanley, Flat Again! (Flat Stanley, #6)	Jeff Brown	3.89	1864	1388278025s/163979	163979.Stanley_Flat_Again_	86
Mind Fuck (The Administration, #1)	Manna Francis	4.01	2128	1328214829s/2112823	2112823.Mind_Fuck	264
Caballo de Fuego: Congo	Florencia Bonelli	4.42	1370	1315087894s/12511877	12511877-caballo-de-fuego	579
Die erste Wahrheit (Die B�_̩cher der Wahrheiten, #1)	Dawn Cook	3.71	3760	1328180718s/5975891	5975891-die-erste-wahrheit	479
