title	author	avg_rating	ratings
Gone with the Wind	Margaret Mitchell	4.27	801316
My Sister's Keeper	Jodi Picoult	4.05	796543
Slaughterhouse-Five	Kurt Vonnegut	4.04	781976
Teurastamo 5	Kurt Vonnegut	4.04	781976
Frankenstein	Mary Shelley	3.73	775478
Ender's Game (The Ender Quintet, #1)	Orson Scott Card	4.29	759088
A Thousand Splendid Suns	Khaled Hosseini	4.32	741610
The Host	Stephenie Meyer	3.84	722019
The Shining	Stephen King	4.14	712541
Looking for Alaska	John Green	4.12	700738
Sense and Sensibility	Jane Austen	4.05	693874
Bridget Jones's Diary (Bridget Jones, #1)	Helen Fielding	3.73	671708
Holes (Holes, #1)	Louis Sachar	3.92	659857
Löcher. Die Geheimnisse von Green Lake.	Louis Sachar	3.92	659857
The Odyssey	Homer	3.71	649408
Micul Print	Antoine de Saint-Exupéry	4.26	648712
The Little Prince	Antoine de Saint-Exupéry	4.26	648712
The Devil Wears Prada (The Devil Wears Prada, #1)	Lauren Weisberger	3.67	614103
The Giving Tree	Shel Silverstein	4.37	613009
A Tale of Two Cities	Charles Dickens	3.79	610221
The Maze Runner	James Dashner	4.03	601316
The Secret Garden	Frances Hodgson Burnett	4.11	600514
The Girl on the Train	Paula Hawkins	3.84	596754
Night (The Night Trilogy, #1)	Elie Wiesel	4.27	593688
The Outsiders	S.E. Hinton	4.04	586764
Jurassic Park	Michael Crichton	3.93	579105
The Princess Bride	William Goldman	4.25	579076
