title	author	avg_rating	ratings	img	url
The Little Prince	Antoine de Saint-ExupÃƒÂ©ry	4.26	649731	1367545443s/157993	157993.The_Little_Prince
The Odyssey	Homer	3.71	649698	1390173285s/1381	1381.The_Odyssey
The Devil Wears Prada (The Devil Wears Prada, #1)	Lauren Weisberger	3.67	614420	1388179604s/5139	5139.The_Devil_Wears_Prada
The Giving Tree	Shel Silverstein	4.37	613463	1174210942s/370493	370493.The_Giving_Tree
A Tale of Two Cities	Charles Dickens	3.79	610558	1344922523s/1953	1953.A_Tale_of_Two_Cities
The Maze Runner	James Dashner	4.03	602248	1396510610s/17620176	17620176-the-maze-runner
The Maze Runner (Maze Runner, #1)	James Dashner	4.03	602247	1375596592s/6186357	6186357-the-maze-runner
The Secret Garden	Frances Hodgson Burnett	4.11	600995	1327873635s/2998	2998.The_Secret_Garden
The Girl on the Train	Paula Hawkins	3.84	599613	1461537514s/22754100	22754100-the-girl-on-the-train
Night (The Night Trilogy, #1)	Elie Wiesel	4.27	594095	1391969340s/1617	1617.Night
The Outsiders	S.E. Hinton	4.04	587362	1442129426s/231804	231804.The_Outsiders
The Princess Bride	William Goldman	4.25	579461	1327903636s/21787	21787.The_Princess_Bride
Jurassic Park	Michael Crichton	3.93	579437	1344371661s/6424171	6424171-jurassic-park
The Glass Castle	Jeannette Walls	4.22	579377	1400930557s/7445	7445.The_Glass_Castle
Dracula	Bram Stoker	3.96	578882	1387151694s/17245	17245.Dracula
Paper Towns	John Green	3.93	572918	1349013610s/6442769	6442769-paper-towns
Allegiant (Divergent, #3)	Veronica Roth	3.65	572288	1368111284s/17383918	17383918-allegiant
Fifty Shades Darker (Fifty Shades, #2)	E.L. James	3.89	567793	1358266080s/11857408	11857408-fifty-shades-darker
Fifty Shades Freed (Fifty Shades, #3)	E.L. James	3.9	564070	1336418837s/13536860	13536860-fifty-shades-freed
Into the Wild	Jon Krakauer	3.92	563639	1403173986s/1845	1845.Into_the_Wild
The Picture of Dorian Gray	Oscar Wilde	4.04	562016	1424596966s/5297	5297.The_Picture_of_Dorian_Gray
The Girl Who Played with Fire (Millennium, #2)	Stieg Larsson	4.21	559523	1351778881s/5060378	5060378-the-girl-who-played-with-fire
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	Madeleine L'Engle	4.04	557989	1329061522s/18131	18131.A_Wrinkle_in_Time
Where the Wild Things Are	Maurice Sendak	4.22	554968	1384434560s/19543	19543.Where_the_Wild_Things_Are
A Time to Kill (Jake Brigance, #1)	John Grisham	4	553666	1390195915s/32542	32542.A_Time_to_Kill
The count of Montecristo	Alexandre Dumas	4.19	535618	0	12512180-the-count-of-montecristo
The Count of Monte Cristo	Alexandre Dumas	4.19	535618	1309203605s/7126	7126.The_Count_of_Monte_Cristo
City of Glass (The Mortal Instruments, #3)	Cassandra Clare	4.34	534542	1369452339s/3777732	3777732-city-of-glass
Stad van Glas (Kronieken van de onderwereld, #3)	Cassandra Clare	4.34	534542	1333475425s/13576236	13576236-stad-van-glas
The Adventures of Tom Sawyer	Mark Twain	3.88	527903	1404811979s/24583	24583.The_Adventures_of_Tom_Sawyer
A Clash of Kings  (A Song of Ice and Fire, #2)	George R.R. Martin	4.39	522003	1358254974s/10572	10572.A_Clash_of_Kings
A Clash of Kings (A Song of Ice and Fire, #2)	George R.R. Martin	4.39	522003	1327109891s/11059676	11059676-a-clash-of-kings
City of Ashes (The Mortal Instruments, #2)	Cassandra Clare	4.22	518170	1432730356s/1582996	1582996.City_of_Ashes
The Poisonwood Bible	Barbara Kingsolver	4.01	517466	1412242487s/7244	7244.The_Poisonwood_Bible
Confessions of a Shopaholic (Shopaholic, #1)	Sophie Kinsella	3.6	514959	1327872404s/9416	9416.Confessions_of_a_Shopaholic
One Hundred Years of Solitude	Gabriel GarcÃƒÂ­Ã‚Â­a MÃƒÂ¡rquez	4.02	509875	1327881361s/320	320.One_Hundred_Years_of_Solitude
Hamlet (The Arden Shakespeare: Third Series)	William Shakespeare	3.99	508217	1402430707s/761292	761292.Hamlet
Hamlet	William Shakespeare	3.99	508217	1351051208s/1420	1420.Hamlet
Les MisÃƒÂ©rables	Victor Hugo	4.12	506006	1411852091s/24280	24280.Les_Mis_rables
Catch-22	Joseph Heller	3.97	505648	1359882576s/168668	168668.Catch_22
A Walk to Remember	Nicholas Sparks	4.14	503396	1385738968s/3473	3473.A_Walk_to_Remember
The Road	Cormac McCarthy	3.94	503095	1439197219s/6288	6288.The_Road
The Scarlet Letter	Nathaniel Hawthorne	3.35	496570	1404810944s/12296	12296.The_Scarlet_Letter
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)	Steven D. Levitt	3.91	496113	1327909092s/1202	1202.Freakonomics
The Joy Luck Club	Amy Tan	3.88	493558	1304978653s/7763	7763.The_Joy_Luck_Club
Bossypants	Tina Fey	3.94	490298	1328015785s/11021913	11021913-bossypants
Tuesdays with Morrie	Mitch Albom	4.03	489280	1423763749s/6900	6900.Tuesdays_with_Morrie
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)	Gregory Maguire	3.5	489198	1437733293s/37442	37442.Wicked
Anne of Green Gables (Anne of Green Gables, #1)	L.M. Montgomery	4.21	488370	1390789015s/8127	8127.Anne_of_Green_Gables
The Memory Keeper's Daughter	Kim Edwards	3.63	488359	1406611602s/10441	10441.The_Memory_Keeper_s_Daughter
The Sisterhood of the Traveling Pants (Sisterhood, #1)	Ann Brashares	3.73	487620	1461611233s/452306	452306.The_Sisterhood_of_the_Traveling_Pants
Me Talk Pretty One Day	David Sedaris	3.96	481660	1431013639s/4137	4137.Me_Talk_Pretty_One_Day
The Handmaid's Tale	Margaret Atwood	4	479861	1294702760s/38447	38447.The_Handmaid_s_Tale
The Grapes of Wrath	John Steinbeck	3.9	474511	1334028394s/13594805	13594805-the-grapes-of-wrath
The Sea of Monsters (Percy Jackson and the Olympians, #2)	Rick Riordan	4.22	474389	1426540413s/44187	44187.The_Sea_of_Monsters
The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)	Rick Riordan	4.37	471308	1443142158s/2120932	2120932.The_Battle_of_the_Labyrinth
Macbeth	William Shakespeare	3.87	467046	1459795224s/8852	8852.Macbeth
The Girl Who Kicked the Hornet's Nest (Millennium, #3)	Stieg Larsson	4.19	465716	1327708260s/6892870	6892870-the-girl-who-kicked-the-hornet-s-nest
If I Stay (If I Stay, #1)	Gayle Forman	3.96	464962	1347462970s/4374400	4374400-if-i-stay
Si je reste	Gayle Forman	3.96	464962	1327254872s/7038582	7038582-si-je-reste
